~~~~~~~~~~~~~~~~~~~~~~~~ 
yes.co.il Image Results 
~~~~~~~~~~~~~~~~~~~~~~~~ 

~~~~~~~~~~~~~ 
Valid Images: 
~~~~~~~~~~~~~ 

✔️ Locator: (//a//img[@alt])[1] -> alt: Yes - הסדרות והסרטים הטובים בעולם | src: /documents/35760/312024/logo_yes.png/87f42d6d-19cf-e204-b181-14f06c6b745d?t=1594748005910
✔️ Locator: (//a//img[@alt])[2] -> alt: דיסני+ | src: /documents/35670/2441856/icon_Disney%2B_100x100.png/51903f8f-d414-1cb2-e843-10e1fbb3aafd?t=1655368139465
✔️ Locator: (//a//img[@alt])[3] -> alt: תפעול שלט | src: /documents/35670/2441856/icon_remote_100x100.png/2052d5bf-9d17-53d9-b154-bd40419a8341?t=1615886447669
✔️ Locator: (//a//img[@alt])[4] -> alt: הזמנת ערוצים | src: /documents/35670/2441856/icon_add_100x100.png/b337062c-1112-4ae6-e119-d522681b9c7c?t=1615799605731
✔️ Locator: (//a//img[@alt])[6] -> alt: המנוי שלי yes | src: /documents/35670/2441856/icon_user_100x100.png/3d2a432a-24bc-bd53-0b9f-cd5bc6615bc1?t=1615799670773
✔️ Locator: (//a//img[@alt])[7] -> alt: זימון טכנאי | src: /documents/35670/2441856/icon_technician_100x100.png/9e77e3c1-57b7-b15a-c2da-8a06d0722d65?t=1615799647662
✔️ Locator: (//a//img[@alt])[8] -> alt: תיאום מעבר דירה | src: /documents/35670/2441856/icon_mooving_100x100.png/50307e4b-eab5-d8bf-dcb0-a755df74e717?t=1615799633196
✔️ Locator: (//a//img[@alt])[9] -> alt: שיחה עם נציג yes | src: /documents/35670/2441856/icon_whatsapp3_100x100.png/d27f1978-8919-0887-e430-e2f50e3c2ed5?t=1616494310634
✔️ Locator: (//a//img[@alt])[10] -> alt:  | src: /o/com.yes.alpha.theme/images/yes/arrow-black.svg
✔️ Locator: (//a//img[@alt])[11] -> alt: דנה קמה | src: /documents/35670/22759628/Trailer_DanaKama-_710x400.jpg/f0d3463b-2cad-0b02-278c-2376e373b45a?t=1679215227201
✔️ Locator: (//a//img[@alt])[12] -> alt: info-icon | src: /o/com.yes.alpha.theme/images/yes/info-icon.svg
✔️ Locator: (//a//img[@alt])[13] -> alt: לעוף על אנה | src: /documents/35670/23094486/Editor_Anna_710x400.jpg/2fae1f86-ef8b-c4d3-8b2f-7d6a1bae60d1?t=1683637848660
✔️ Locator: (//a//img[@alt])[14] -> alt: info-icon | src: /o/com.yes.alpha.theme/images/yes/info-icon.svg
✔️ Locator: (//a//img[@alt])[15] -> alt: שרברבי הבית הלבן | src: /documents/35670/23080958/Editor_whitehouseplumbers_710x400.jpg/58133c70-1a42-e612-c027-466df72bcbcb?t=1683457861033
✔️ Locator: (//a//img[@alt])[16] -> alt: info-icon | src: /o/com.yes.alpha.theme/images/yes/info-icon.svg
✔️ Locator: (//a//img[@alt])[17] -> alt: חנוקה | src: /o/com.yes.alpha.theme/images/yes/yes_pic_710X400.jpg
✔️ Locator: (//a//img[@alt])[18] -> alt: info-icon | src: /o/com.yes.alpha.theme/images/yes/info-icon.svg
